"","gene_id","n"
"673","ENSG00000120049",4
"674","ENSG00000120053",4
"675","ENSG00000120129",2
"676","ENSG00000120251",4
"677","ENSG00000120265",4
"678","ENSG00000120306",2
"679","ENSG00000120438",3
"680","ENSG00000120694",4
"681","ENSG00000120727",2
"682","ENSG00000120738",2
"683","ENSG00000120885",4
"684","ENSG00000120899",4
"685","ENSG00000120963",4
"686","ENSG00000121413",4
"687","ENSG00000121653",3
"688","ENSG00000121753",4
"689","ENSG00000121766",2
"690","ENSG00000121769",4
"691","ENSG00000121905",4
"692","ENSG00000122026",4
"693","ENSG00000122042",2
"694","ENSG00000122126",2
"695","ENSG00000122359",3
"696","ENSG00000122378",4
"697","ENSG00000122406",4
"698","ENSG00000122490",2
"699","ENSG00000122545",4
"700","ENSG00000122566",4
"701","ENSG00000122574",4
"702","ENSG00000122585",4
"703","ENSG00000122705",3
"704","ENSG00000122733",2
"705","ENSG00000122873",4
"706","ENSG00000123091",4
"707","ENSG00000123095",3
"708","ENSG00000123119",4
"709","ENSG00000123144",3
"710","ENSG00000123349",4
"711","ENSG00000123358",2
"712","ENSG00000123416",4
"713","ENSG00000123505",2
"714","ENSG00000123560",4
"715","ENSG00000123562",4
"716","ENSG00000123975",2
"717","ENSG00000123989",4
"718","ENSG00000124126",3
"719","ENSG00000124140",4
"720","ENSG00000124172",4
"721","ENSG00000124313",2
"722","ENSG00000124406",4
"723","ENSG00000124422",4
"724","ENSG00000124507",4
"725","ENSG00000124614",4
"726","ENSG00000124702",4
"727","ENSG00000124767",2
"728","ENSG00000124785",4
"729","ENSG00000124920",4
"730","ENSG00000124942",2
"731","ENSG00000125144",4
"732","ENSG00000125148",4
"733","ENSG00000125166",2
"734","ENSG00000125356",4
"735","ENSG00000125398",2
"736","ENSG00000125462",4
"737","ENSG00000125505",4
"738","ENSG00000125534",4
"739","ENSG00000125648",4
"740","ENSG00000125675",4
"741","ENSG00000125691",2
"742","ENSG00000125740",2
"743","ENSG00000125743",4
"744","ENSG00000125814",4
"745","ENSG00000125827",2
"746","ENSG00000125841",2
"747","ENSG00000125851",2
"748","ENSG00000125868",4
"749","ENSG00000125869",4
"750","ENSG00000125967",2
"751","ENSG00000125968",3
"752","ENSG00000125971",4
"753","ENSG00000125995",2
"754","ENSG00000126005",3
"755","ENSG00000126214",4
"756","ENSG00000126217",2
"757","ENSG00000126247",4
"758","ENSG00000126267",4
"759","ENSG00000126351",4
"760","ENSG00000126432",4
"761","ENSG00000126457",2
"762","ENSG00000126524",2
"763","ENSG00000126583",4
"764","ENSG00000126709",4
"765","ENSG00000126767",3
"766","ENSG00000126803",4
"767","ENSG00000126860",3
"768","ENSG00000126878",3
"769","ENSG00000126934",3
"770","ENSG00000126945",3
"771","ENSG00000126950",3
"772","ENSG00000127022",4
"773","ENSG00000127184",4
"774","ENSG00000127220",3
"775","ENSG00000127445",4
"776","ENSG00000127511",3
"777","ENSG00000127540",3
"778","ENSG00000127561",4
"779","ENSG00000127585",4
"780","ENSG00000127824",4
"781","ENSG00000127838",2
"782","ENSG00000127884",4
"783","ENSG00000127922",2
"784","ENSG00000127995",2
"785","ENSG00000128245",4
"786","ENSG00000128272",3
"787","ENSG00000128463",2
"788","ENSG00000128482",2
"789","ENSG00000128512",4
"790","ENSG00000128524",4
"791","ENSG00000128564",4
"792","ENSG00000128609",4
"793","ENSG00000128656",4
"794","ENSG00000128683",4
