"","gene_id","gene_name","overall_rank","average_rank","n_withinTop2000"
"ENSG00000102760","ENSG00000102760","RGCC",688.5,942.5,4
"ENSG00000044115","ENSG00000044115","CTNNA1",690,943.75,4
"ENSG00000117152","ENSG00000117152","RGS4",691,945.25,4
"ENSG00000072832","ENSG00000072832","CRMP1",692.5,945.75,4
"ENSG00000205704","ENSG00000205704","LINC00634",692.5,945.75,4
"ENSG00000159842","ENSG00000159842","ABR",694,946,4
"ENSG00000265972","ENSG00000265972","TXNIP",695,946.75,4
"ENSG00000170271","ENSG00000170271","FAXDC2",696.5,948,4
"ENSG00000059804","ENSG00000059804","SLC2A3",696.5,948,4
"ENSG00000182220","ENSG00000182220","ATP6AP2",698,950,4
"ENSG00000162706","ENSG00000162706","CADM3",699,951,4
"ENSG00000158856","ENSG00000158856","DMTN",700.5,952.5,4
"ENSG00000077264","ENSG00000077264","PAK3",700.5,952.5,4
"ENSG00000169562","ENSG00000169562","GJB1",702,953.25,4
"ENSG00000092758","ENSG00000092758","COL9A3",703,953.75,4
"ENSG00000084764","ENSG00000084764","MAPRE3",704,954,4
"ENSG00000135924","ENSG00000135924","DNAJB2",705,955.75,4
"ENSG00000101265","ENSG00000101265","RASSF2",706,959.5,4
"ENSG00000112893","ENSG00000112893","MAN2A1",707,962,4
"ENSG00000141524","ENSG00000141524","TMC6",708,962.25,4
"ENSG00000168297","ENSG00000168297","PXK",709,962.75,4
"ENSG00000135472","ENSG00000135472","FAIM2",710,963,4
"ENSG00000120738","ENSG00000120738","EGR1",711,963.5,4
"ENSG00000147488","ENSG00000147488","ST18",712,963.75,4
"ENSG00000116574","ENSG00000116574","RHOU",713,964.75,4
"ENSG00000116983","ENSG00000116983","HPCAL4",714,965.25,4
"ENSG00000169504","ENSG00000169504","CLIC4",715,966.25,4
"ENSG00000114942","ENSG00000114942","EEF1B2",716,966.5,4
"ENSG00000203879","ENSG00000203879","GDI1",717,972.5,4
"ENSG00000006128","ENSG00000006128","TAC1",718,976,4
"ENSG00000124785","ENSG00000124785","NRN1",719,979,4
"ENSG00000067840","ENSG00000067840","PDZD4",720,979.5,4
"ENSG00000100030","ENSG00000100030","MAPK1",721,979.75,4
"ENSG00000272888","ENSG00000272888","LINC01578",722,981.5,4
"ENSG00000186469","ENSG00000186469","GNG2",723.5,986.5,4
"ENSG00000104964","ENSG00000104964","TLE5",723.5,986.5,4
"ENSG00000139438","ENSG00000139438","FAM222A",725,987.75,3
"ENSG00000026025","ENSG00000026025","VIM",726,989.5,4
"ENSG00000122545","ENSG00000122545","SEPTIN7",727,990,4
"ENSG00000176046","ENSG00000176046","NUPR1",728,990.25,4
"ENSG00000198673","ENSG00000198673","TAFA2",729,993.5,4
"ENSG00000058335","ENSG00000058335","RASGRF1",730,994.5,4
"ENSG00000082996","ENSG00000082996","RNF13",731,997.5,4
"ENSG00000092964","ENSG00000092964","DPYSL2",732,998.25,4
"ENSG00000108262","ENSG00000108262","GIT1",733,998.75,3
"ENSG00000142089","ENSG00000142089","IFITM3",734,999.75,4
"ENSG00000111775","ENSG00000111775","COX6A1",735,1001.5,4
